Model,File,url
Qwen/Qwen2-Math-72B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2-Math-72B-Instruct-details/Qwen__Qwen2-Math-72B-Instruct/samples_leaderboard_mmlu_pro_2024-09-21T18-32-21.222955.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2-Math-72B-Instruct-details
CultriX/SeQwence-14B-EvolMerge,hf://datasets/open-llm-leaderboard/CultriX__SeQwence-14B-EvolMerge-details/CultriX__SeQwence-14B-EvolMerge/samples_leaderboard_mmlu_pro_2024-11-27T11-01-35.329151.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CultriX__SeQwence-14B-EvolMerge-details
Qwen/Qwen2.5-32B,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-32B-details/Qwen__Qwen2.5-32B/samples_leaderboard_mmlu_pro_2024-09-19T18-55-45.558779.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-32B-details
CultriX/Qwen2.5-14B-Wernicke,hf://datasets/open-llm-leaderboard/CultriX__Qwen2.5-14B-Wernicke-details/CultriX__Qwen2.5-14B-Wernicke/samples_leaderboard_mmlu_pro_2024-10-23T19-04-06.984034.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CultriX__Qwen2.5-14B-Wernicke-details
ehristoforu/RQwen-v0.2,hf://datasets/open-llm-leaderboard/ehristoforu__RQwen-v0.2-details/ehristoforu__RQwen-v0.2/samples_leaderboard_mmlu_pro_2024-11-25T16-44-13.553534.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ehristoforu__RQwen-v0.2-details
VAGOsolutions/SauerkrautLM-v2-14b-DPO,hf://datasets/open-llm-leaderboard/VAGOsolutions__SauerkrautLM-v2-14b-DPO-details/VAGOsolutions__SauerkrautLM-v2-14b-DPO/samples_leaderboard_mmlu_pro_2024-11-06T18-54-34.361166.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/VAGOsolutions__SauerkrautLM-v2-14b-DPO-details
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,hf://datasets/open-llm-leaderboard/BAAI__Infinity-Instruct-7M-Gen-Llama3_1-70B-details/BAAI__Infinity-Instruct-7M-Gen-Llama3_1-70B/samples_leaderboard_mmlu_pro_2024-09-29T01-05-56.315539.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/BAAI__Infinity-Instruct-7M-Gen-Llama3_1-70B-details
sequelbox/Llama3.1-70B-PlumChat,hf://datasets/open-llm-leaderboard/sequelbox__Llama3.1-70B-PlumChat-details/sequelbox__Llama3.1-70B-PlumChat/samples_leaderboard_mmlu_pro_2024-11-29T00-15-05.525542.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sequelbox__Llama3.1-70B-PlumChat-details
TheTsar1209/qwen-carpmuscle-v0.4,hf://datasets/open-llm-leaderboard/TheTsar1209__qwen-carpmuscle-v0.4-details/TheTsar1209__qwen-carpmuscle-v0.4/samples_leaderboard_mmlu_pro_2024-11-20T00-35-22.330796.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/TheTsar1209__qwen-carpmuscle-v0.4-details
flammenai/Mahou-1.5-llama3.1-70B,hf://datasets/open-llm-leaderboard/flammenai__Mahou-1.5-llama3.1-70B-details/flammenai__Mahou-1.5-llama3.1-70B/samples_leaderboard_mmlu_pro_2024-10-16T05-33-55.057765.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/flammenai__Mahou-1.5-llama3.1-70B-details
mlabonne/BigQwen2.5-Echo-47B-Instruct,hf://datasets/open-llm-leaderboard/mlabonne__BigQwen2.5-Echo-47B-Instruct-details/mlabonne__BigQwen2.5-Echo-47B-Instruct/samples_leaderboard_mmlu_pro_2024-09-25T06-59-51.391249.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/mlabonne__BigQwen2.5-Echo-47B-Instruct-details
flammenai/Llama3.1-Flammades-70B,hf://datasets/open-llm-leaderboard/flammenai__Llama3.1-Flammades-70B-details/flammenai__Llama3.1-Flammades-70B/samples_leaderboard_mmlu_pro_2024-10-16T05-36-14.114991.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/flammenai__Llama3.1-Flammades-70B-details
cognitivecomputations/dolphin-2.9.2-qwen2-72b,hf://datasets/open-llm-leaderboard/cognitivecomputations__dolphin-2.9.2-qwen2-72b-details/cognitivecomputations__dolphin-2.9.2-qwen2-72b/samples_leaderboard_mmlu_pro_2024-09-28T22-12-49.830467.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/cognitivecomputations__dolphin-2.9.2-qwen2-72b-details
sometimesanotion/lamarck-14b-reason-model_stock,hf://datasets/open-llm-leaderboard/sometimesanotion__lamarck-14b-reason-model_stock-details/sometimesanotion__lamarck-14b-reason-model_stock/samples_leaderboard_mmlu_pro_2024-12-10T22-47-41.113693.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sometimesanotion__lamarck-14b-reason-model_stock-details
nbeerbower/Llama3.1-Gutenberg-Doppel-70B,hf://datasets/open-llm-leaderboard/nbeerbower__Llama3.1-Gutenberg-Doppel-70B-details/nbeerbower__Llama3.1-Gutenberg-Doppel-70B/samples_leaderboard_mmlu_pro_2024-10-16T05-24-29.106403.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/nbeerbower__Llama3.1-Gutenberg-Doppel-70B-details
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,hf://datasets/open-llm-leaderboard/BAAI__Infinity-Instruct-3M-0625-Llama3-70B-details/BAAI__Infinity-Instruct-3M-0625-Llama3-70B/samples_leaderboard_mmlu_pro_2024-09-03T00-17-17.935598.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/BAAI__Infinity-Instruct-3M-0625-Llama3-70B-details
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,hf://datasets/open-llm-leaderboard/nvidia__Llama-3.1-Nemotron-70B-Instruct-HF-details/nvidia__Llama-3.1-Nemotron-70B-Instruct-HF/samples_leaderboard_mmlu_pro_2024-10-16T21-36-11.699077.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/nvidia__Llama-3.1-Nemotron-70B-Instruct-HF-details
CultriX/SeQwence-14B,hf://datasets/open-llm-leaderboard/CultriX__SeQwence-14B-details/CultriX__SeQwence-14B/samples_leaderboard_mmlu_pro_2024-11-20T10-20-14.065091.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CultriX__SeQwence-14B-details
microsoft/Phi-3.5-MoE-instruct,hf://datasets/open-llm-leaderboard/microsoft__Phi-3.5-MoE-instruct-details/microsoft__Phi-3.5-MoE-instruct/samples_leaderboard_mmlu_pro_2024-08-21T17-48-19.791628.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/microsoft__Phi-3.5-MoE-instruct-details
sometimesanotion/Lamarck-14B-v0.3,hf://datasets/open-llm-leaderboard/sometimesanotion__Lamarck-14B-v0.3-details/sometimesanotion__Lamarck-14B-v0.3/samples_leaderboard_mmlu_pro_2024-12-09T01-38-00.526884.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sometimesanotion__Lamarck-14B-v0.3-details
qingy2019/Qwen2.5-Math-14B-Instruct-Alpha,hf://datasets/open-llm-leaderboard/qingy2019__Qwen2.5-Math-14B-Instruct-Alpha-details/qingy2019__Qwen2.5-Math-14B-Instruct-Alpha/samples_leaderboard_mmlu_pro_2024-12-04T03-17-14.501223.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2019__Qwen2.5-Math-14B-Instruct-Alpha-details
Qwen/Qwen2.5-Math-72B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-Math-72B-Instruct-details/Qwen__Qwen2.5-Math-72B-Instruct/samples_leaderboard_mmlu_pro_2024-09-30T07-49-10.996557.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-Math-72B-Instruct-details
tenyx/Llama3-TenyxChat-70B,hf://datasets/open-llm-leaderboard/tenyx__Llama3-TenyxChat-70B-details/tenyx__Llama3-TenyxChat-70B/samples_leaderboard_mmlu_pro_2024-08-12T05-34-54.475921.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/tenyx__Llama3-TenyxChat-70B-details
sometimesanotion/Qwen-2.5-14B-Virmarckeoso,hf://datasets/open-llm-leaderboard/sometimesanotion__Qwen-2.5-14B-Virmarckeoso-details/sometimesanotion__Qwen-2.5-14B-Virmarckeoso/samples_leaderboard_mmlu_pro_2024-12-10T23-02-11.142511.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sometimesanotion__Qwen-2.5-14B-Virmarckeoso-details
sometimesanotion/Lamarck-14B-v0.4-Qwenvergence,hf://datasets/open-llm-leaderboard/sometimesanotion__Lamarck-14B-v0.4-Qwenvergence-details/sometimesanotion__Lamarck-14B-v0.4-Qwenvergence/samples_leaderboard_mmlu_pro_2024-12-12T18-06-38.243592.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sometimesanotion__Lamarck-14B-v0.4-Qwenvergence-details
nisten/franqwenstein-35b,hf://datasets/open-llm-leaderboard/nisten__franqwenstein-35b-details/nisten__franqwenstein-35b/samples_leaderboard_mmlu_pro_2024-10-05T10-56-01.707753.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/nisten__franqwenstein-35b-details
ValiantLabs/Llama3.1-70B-ShiningValiant2,hf://datasets/open-llm-leaderboard/ValiantLabs__Llama3.1-70B-ShiningValiant2-details/ValiantLabs__Llama3.1-70B-ShiningValiant2/samples_leaderboard_mmlu_pro_2024-10-31T06-27-05.966661.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ValiantLabs__Llama3.1-70B-ShiningValiant2-details
hotmailuser/Gemma2SimPO-27B,hf://datasets/open-llm-leaderboard/hotmailuser__Gemma2SimPO-27B-details/hotmailuser__Gemma2SimPO-27B/samples_leaderboard_mmlu_pro_2024-12-02T06-47-40.838006.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/hotmailuser__Gemma2SimPO-27B-details
Tsunami-th/Tsunami-0.5-7B-Instruct,hf://datasets/open-llm-leaderboard/Tsunami-th__Tsunami-0.5-7B-Instruct-details/Tsunami-th__Tsunami-0.5-7B-Instruct/samples_leaderboard_mmlu_pro_2024-10-12T23-31-05.673706.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Tsunami-th__Tsunami-0.5-7B-Instruct-details
tiiuae/Falcon3-7B-Instruct,hf://datasets/open-llm-leaderboard/tiiuae__Falcon3-7B-Instruct-details/tiiuae__Falcon3-7B-Instruct/samples_leaderboard_mmlu_pro_2024-12-16T13-16-31.959114.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/tiiuae__Falcon3-7B-Instruct-details
meta-llama/Meta-Llama-3-70B-Instruct,hf://datasets/open-llm-leaderboard/meta-llama__Meta-Llama-3-70B-Instruct-details/meta-llama__Meta-Llama-3-70B-Instruct/samples_leaderboard_mmlu_pro_2024-06-19T08-22-58.348428.json,https://huggingface.co/datasets/open-llm-leaderboard/meta-llama__Meta-Llama-3-70B-Instruct-details
hotmailuser/Gemma2Crono-27B,hf://datasets/open-llm-leaderboard/hotmailuser__Gemma2Crono-27B-details/hotmailuser__Gemma2Crono-27B/samples_leaderboard_mmlu_pro_2024-12-04T04-36-27.482016.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/hotmailuser__Gemma2Crono-27B-details
bunnycore/QandoraExp-7B,hf://datasets/open-llm-leaderboard/bunnycore__QandoraExp-7B-details/bunnycore__QandoraExp-7B/samples_leaderboard_mmlu_pro_2024-11-11T10-40-12.407185.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/bunnycore__QandoraExp-7B-details
gbueno86/Brinebreath-Llama-3.1-70B,hf://datasets/open-llm-leaderboard/gbueno86__Brinebreath-Llama-3.1-70B-details/gbueno86__Brinebreath-Llama-3.1-70B/samples_leaderboard_mmlu_pro_2024-09-03T03-48-42.670969.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/gbueno86__Brinebreath-Llama-3.1-70B-details
qingy2024/Qwen2.6-14B-Instruct,hf://datasets/open-llm-leaderboard/qingy2024__Qwen2.6-14B-Instruct-details/qingy2024__Qwen2.6-14B-Instruct/samples_leaderboard_mmlu_pro_2024-12-05T10-23-22.933498.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2024__Qwen2.6-14B-Instruct-details
VAGOsolutions/SauerkrautLM-v2-14b-SFT,hf://datasets/open-llm-leaderboard/VAGOsolutions__SauerkrautLM-v2-14b-SFT-details/VAGOsolutions__SauerkrautLM-v2-14b-SFT/samples_leaderboard_mmlu_pro_2024-11-06T18-53-14.056328.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/VAGOsolutions__SauerkrautLM-v2-14b-SFT-details
google/gemma-2-27b-it,hf://datasets/open-llm-leaderboard/google__gemma-2-27b-it-details/google__gemma-2-27b-it/samples_leaderboard_mmlu_pro_2024-08-26T14-00-19.311199.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/google__gemma-2-27b-it-details
KSU-HW-SEC/Llama3-70b-SVA-FT-1415,hf://datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-1415-details/KSU-HW-SEC__Llama3-70b-SVA-FT-1415/samples_leaderboard_mmlu_pro_2024-09-14T11-15-52.495807.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-1415-details
oxyapi/oxy-1-small,hf://datasets/open-llm-leaderboard/oxyapi__oxy-1-small-details/oxyapi__oxy-1-small/samples_leaderboard_mmlu_pro_2024-12-03T20-14-40.604535.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/oxyapi__oxy-1-small-details
KSU-HW-SEC/Llama3-70b-SVA-FT-final,hf://datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-final-details/KSU-HW-SEC__Llama3-70b-SVA-FT-final/samples_leaderboard_mmlu_pro_2024-09-14T11-20-10.542367.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-final-details
djuna/G2-BigGSHT-27B-2,hf://datasets/open-llm-leaderboard/djuna__G2-BigGSHT-27B-2-details/djuna__G2-BigGSHT-27B-2/samples_leaderboard_mmlu_pro_2024-11-06T22-02-30.157224.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/djuna__G2-BigGSHT-27B-2-details
Tsunami-th/Tsunami-0.5x-7B-Instruct,hf://datasets/open-llm-leaderboard/Tsunami-th__Tsunami-0.5x-7B-Instruct-details/Tsunami-th__Tsunami-0.5x-7B-Instruct/samples_leaderboard_mmlu_pro_2024-10-16T09-40-45.255428.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Tsunami-th__Tsunami-0.5x-7B-Instruct-details
dnhkng/RYS-Llama-3-Large-Instruct,hf://datasets/open-llm-leaderboard/dnhkng__RYS-Llama-3-Large-Instruct-details/dnhkng__RYS-Llama-3-Large-Instruct/samples_leaderboard_mmlu_pro_2024-08-13T00-58-36.953051.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dnhkng__RYS-Llama-3-Large-Instruct-details
KSU-HW-SEC/Llama3-70b-SVA-FT-500,hf://datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-500-details/KSU-HW-SEC__Llama3-70b-SVA-FT-500/samples_leaderboard_mmlu_pro_2024-09-14T11-12-13.877314.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/KSU-HW-SEC__Llama3-70b-SVA-FT-500-details
Etherll/Qwen2.5-7B-della-test,hf://datasets/open-llm-leaderboard/Etherll__Qwen2.5-7B-della-test-details/Etherll__Qwen2.5-7B-della-test/samples_leaderboard_mmlu_pro_2024-11-14T12-53-48.973876.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Etherll__Qwen2.5-7B-della-test-details
hotmailuser/Gemma2atlas-27B,hf://datasets/open-llm-leaderboard/hotmailuser__Gemma2atlas-27B-details/hotmailuser__Gemma2atlas-27B/samples_leaderboard_mmlu_pro_2024-12-02T06-39-45.019030.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/hotmailuser__Gemma2atlas-27B-details
abacusai/Smaug-Llama-3-70B-Instruct-32K,hf://datasets/open-llm-leaderboard/abacusai__Smaug-Llama-3-70B-Instruct-32K-details/abacusai__Smaug-Llama-3-70B-Instruct-32K/samples_leaderboard_mmlu_pro_2024-08-01T22-31-44.561528.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/abacusai__Smaug-Llama-3-70B-Instruct-32K-details
Tsunami-th/Tsunami-1.0-7B-Instruct,hf://datasets/open-llm-leaderboard/Tsunami-th__Tsunami-1.0-7B-Instruct-details/Tsunami-th__Tsunami-1.0-7B-Instruct/samples_leaderboard_mmlu_pro_2024-10-29T16-40-28.720150.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Tsunami-th__Tsunami-1.0-7B-Instruct-details
Orion-zhen/Qwen2.5-7B-Instruct-Uncensored,hf://datasets/open-llm-leaderboard/Orion-zhen__Qwen2.5-7B-Instruct-Uncensored-details/Orion-zhen__Qwen2.5-7B-Instruct-Uncensored/samples_leaderboard_mmlu_pro_2024-10-19T16-04-40.376458.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Orion-zhen__Qwen2.5-7B-Instruct-Uncensored-details
Cran-May/T.E-8.1,hf://datasets/open-llm-leaderboard/Cran-May__T.E-8.1-details/Cran-May__T.E-8.1/samples_leaderboard_mmlu_pro_2024-09-29T18-25-58.538578.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Cran-May__T.E-8.1-details
Isaak-Carter/Josiefied-Qwen2.5-7B-Instruct-abliterated-v2,hf://datasets/open-llm-leaderboard/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2-details/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2/samples_leaderboard_mmlu_pro_2024-09-21T15-59-52.669162.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2-details
sometimesanotion/lamarck-14b-prose-model_stock,hf://datasets/open-llm-leaderboard/sometimesanotion__lamarck-14b-prose-model_stock-details/sometimesanotion__lamarck-14b-prose-model_stock/samples_leaderboard_mmlu_pro_2024-12-09T18-00-03.944388.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/sometimesanotion__lamarck-14b-prose-model_stock-details
ZeroXClem/Qwen2.5-7B-HomerAnvita-NerdMix,hf://datasets/open-llm-leaderboard/ZeroXClem__Qwen2.5-7B-HomerAnvita-NerdMix-details/ZeroXClem__Qwen2.5-7B-HomerAnvita-NerdMix/samples_leaderboard_mmlu_pro_2024-11-22T00-34-20.371295.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ZeroXClem__Qwen2.5-7B-HomerAnvita-NerdMix-details
OpenBuddy/openbuddy-llama3-70b-v21.2-32k,hf://datasets/open-llm-leaderboard/OpenBuddy__openbuddy-llama3-70b-v21.2-32k-details/OpenBuddy__openbuddy-llama3-70b-v21.2-32k/samples_leaderboard_mmlu_pro_2024-10-15T17-12-00.837354.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/OpenBuddy__openbuddy-llama3-70b-v21.2-32k-details
tiiuae/Falcon3-10B-Instruct,hf://datasets/open-llm-leaderboard/tiiuae__Falcon3-10B-Instruct-details/tiiuae__Falcon3-10B-Instruct/samples_leaderboard_mmlu_pro_2024-12-16T10-54-04.791182.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/tiiuae__Falcon3-10B-Instruct-details
suayptalha/HomerCreativeAnvita-Mix-Qw7B,hf://datasets/open-llm-leaderboard/suayptalha__HomerCreativeAnvita-Mix-Qw7B-details/suayptalha__HomerCreativeAnvita-Mix-Qw7B/samples_leaderboard_mmlu_pro_2024-11-24T07-23-52.161397.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/suayptalha__HomerCreativeAnvita-Mix-Qw7B-details
Qwen/Qwen2-72B,hf://datasets/open-llm-leaderboard/Qwen__Qwen2-72B-details/Qwen__Qwen2-72B/samples_leaderboard_mmlu_pro_2024-06-26T04-39-30.372446.json,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2-72B-details
suayptalha/Rombos-2.5-T.E-8.1,hf://datasets/open-llm-leaderboard/suayptalha__Rombos-2.5-T.E-8.1-details/suayptalha__Rombos-2.5-T.E-8.1/samples_leaderboard_mmlu_pro_2024-11-19T22-33-57.925022.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/suayptalha__Rombos-2.5-T.E-8.1-details
mattshumer/ref_70_e3,hf://datasets/open-llm-leaderboard/mattshumer__ref_70_e3-details/mattshumer__ref_70_e3/samples_leaderboard_mmlu_pro_2024-09-10T15-58-12.603417.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/mattshumer__ref_70_e3-details
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,hf://datasets/open-llm-leaderboard/CombinHorizon__Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES-details/CombinHorizon__Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES/samples_leaderboard_mmlu_pro_2024-10-29T15-00-49.989293.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/CombinHorizon__Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES-details
Goekdeniz-Guelmez/Josiefied-Qwen2.5-7B-Instruct-abliterated-v2,hf://datasets/open-llm-leaderboard/Goekdeniz-Guelmez__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2-details/Goekdeniz-Guelmez__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2/samples_leaderboard_mmlu_pro_2024-10-08T16-13-18.788363.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Goekdeniz-Guelmez__Josiefied-Qwen2.5-7B-Instruct-abliterated-v2-details
qingy2024/Fusion2-14B-Instruct,hf://datasets/open-llm-leaderboard/qingy2024__Fusion2-14B-Instruct-details/qingy2024__Fusion2-14B-Instruct/samples_leaderboard_mmlu_pro_2024-12-06T02-58-05.962084.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2024__Fusion2-14B-Instruct-details
Qwen/Qwen2.5-7B-Instruct,hf://datasets/open-llm-leaderboard/Qwen__Qwen2.5-7B-Instruct-details/Qwen__Qwen2.5-7B-Instruct/samples_leaderboard_mmlu_pro_2024-09-19T16-21-01.446061.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__Qwen2.5-7B-Instruct-details
qingy2024/Qwen2.6-Math-14B-Instruct,hf://datasets/open-llm-leaderboard/qingy2024__Qwen2.6-Math-14B-Instruct-details/qingy2024__Qwen2.6-Math-14B-Instruct/samples_leaderboard_mmlu_pro_2024-12-05T10-28-26.754827.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/qingy2024__Qwen2.6-Math-14B-Instruct-details
djuna/Q2.5-Partron-7B,hf://datasets/open-llm-leaderboard/djuna__Q2.5-Partron-7B-details/djuna__Q2.5-Partron-7B/samples_leaderboard_mmlu_pro_2024-11-10T09-25-01.927830.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/djuna__Q2.5-Partron-7B-details
Isaak-Carter/Josiefied-Qwen2.5-7B-Instruct-abliterated,hf://datasets/open-llm-leaderboard/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated-details/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated/samples_leaderboard_mmlu_pro_2024-09-21T14-45-46.127361.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Isaak-Carter__Josiefied-Qwen2.5-7B-Instruct-abliterated-details
dnhkng/RYS-XLarge2,hf://datasets/open-llm-leaderboard/dnhkng__RYS-XLarge2-details/dnhkng__RYS-XLarge2/samples_leaderboard_mmlu_pro_2024-10-17T08-13-55.389563.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/dnhkng__RYS-XLarge2-details
HumanLLMs/Humanish-Qwen2.5-7B-Instruct,hf://datasets/open-llm-leaderboard/HumanLLMs__Humanish-Qwen2.5-7B-Instruct-details/HumanLLMs__Humanish-Qwen2.5-7B-Instruct/samples_leaderboard_mmlu_pro_2024-10-05T11-54-13.710788.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/HumanLLMs__Humanish-Qwen2.5-7B-Instruct-details
aaditya/Llama3-OpenBioLLM-70B,hf://datasets/open-llm-leaderboard/aaditya__Llama3-OpenBioLLM-70B-details/aaditya__Llama3-OpenBioLLM-70B/samples_leaderboard_mmlu_pro_2024-10-05T12-43-45.579009.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/aaditya__Llama3-OpenBioLLM-70B-details
ZeroXClem/Qwen2.5-7B-HomerCreative-Mix,hf://datasets/open-llm-leaderboard/ZeroXClem__Qwen2.5-7B-HomerCreative-Mix-details/ZeroXClem__Qwen2.5-7B-HomerCreative-Mix/samples_leaderboard_mmlu_pro_2024-11-22T00-32-11.693490.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/ZeroXClem__Qwen2.5-7B-HomerCreative-Mix-details
newsbang/Homer-v0.5-Qwen2.5-7B,hf://datasets/open-llm-leaderboard/newsbang__Homer-v0.5-Qwen2.5-7B-details/newsbang__Homer-v0.5-Qwen2.5-7B/samples_leaderboard_mmlu_pro_2024-11-20T09-41-13.754691.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/newsbang__Homer-v0.5-Qwen2.5-7B-details
huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,hf://datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-7B-Instruct-abliterated-v2-details/huihui-ai__Qwen2.5-7B-Instruct-abliterated-v2/samples_leaderboard_mmlu_pro_2024-09-24T20-52-18.739351.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-7B-Instruct-abliterated-v2-details
glaiveai/Reflection-Llama-3.1-70B,hf://datasets/open-llm-leaderboard/glaiveai__Reflection-Llama-3.1-70B-details/glaiveai__Reflection-Llama-3.1-70B/samples_leaderboard_mmlu_pro_2024-10-08T01-46-47.348888.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/glaiveai__Reflection-Llama-3.1-70B-details
huihui-ai/Qwen2.5-7B-Instruct-abliterated,hf://datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-7B-Instruct-abliterated-details/huihui-ai__Qwen2.5-7B-Instruct-abliterated/samples_leaderboard_mmlu_pro_2024-09-24T20-52-14.924076.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/huihui-ai__Qwen2.5-7B-Instruct-abliterated-details
lemon07r/Gemma-2-Ataraxy-v4d-9B,hf://datasets/open-llm-leaderboard/lemon07r__Gemma-2-Ataraxy-v4d-9B-details/lemon07r__Gemma-2-Ataraxy-v4d-9B/samples_leaderboard_mmlu_pro_2024-10-25T17-44-13.670111.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/lemon07r__Gemma-2-Ataraxy-v4d-9B-details
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,hf://datasets/open-llm-leaderboard/HuggingFaceH4__zephyr-orpo-141b-A35b-v0.1-details/HuggingFaceH4__zephyr-orpo-141b-A35b-v0.1/samples_leaderboard_mmlu_pro_2024-06-16T17-55-54.750054.json,https://huggingface.co/datasets/open-llm-leaderboard/HuggingFaceH4__zephyr-orpo-141b-A35b-v0.1-details
Qwen/QwQ-32B-Preview,hf://datasets/open-llm-leaderboard/Qwen__QwQ-32B-Preview-details/Qwen__QwQ-32B-Preview/samples_leaderboard_mmlu_pro_2024-11-29T18-47-19.440839.jsonl,https://huggingface.co/datasets/open-llm-leaderboard/Qwen__QwQ-32B-Preview-details
