,name,sha,precision,type,weight_type,architecture,average_score,has_chat_template,ifeval,bbh,math,gpqa,musr,mmlu_pro,is_not_available_on_hub,is_merged,is_moe,is_flagged,is_official_provider,upload_date,submission_date,generation,base_model,hub_license,hub_hearts,params_billions,co2_cost
DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B_bfloat16_0b1829e4631ff716278c81dac4ed1cab655a3505_False,DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B,0b1829e4631ff716278c81dac4ed1cab655a3505,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,15.169195541253531,False,"{'name': 'IFEval', 'value': 0.2853162940996556, 'normalized_score': 28.531629409965557}","{'name': 'BBH', 'value': 0.44623832540838126, 'normalized_score': 22.878424102179434}","{'name': 'MATH Level 5', 'value': 0.017371601208459216, 'normalized_score': 1.7371601208459215}","{'name': 'GPQA', 'value': 0.3053691275167785, 'normalized_score': 7.38255033557047}","{'name': 'MUSR', 'value': 0.417875, 'normalized_score': 10.734375}","{'name': 'MMLU-PRO', 'value': 0.2777593085106383, 'normalized_score': 19.751034278959807}",False,False,False,False,False,2025-02-09,2025-03-10,1,DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B (Merge),,0,16.537,2.7914034140852118
DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B_bfloat16_39b96b8ceca904a96a5e3e524c2a9513f1850bdd_False,DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B,39b96b8ceca904a96a5e3e524c2a9513f1850bdd,bfloat16,fine-tunedondomain-specificdatasets,Original,MixtralForCausalLM,16.128174383829172,False,"{'name': 'IFEval', 'value': 0.3793135547015253, 'normalized_score': 37.931355470152525}","{'name': 'BBH', 'value': 0.4232300476265338, 'normalized_score': 18.810857392916514}","{'name': 'MATH Level 5', 'value': 0.10800604229607251, 'normalized_score': 10.80060422960725}","{'name': 'GPQA', 'value': 0.27936241610738255, 'normalized_score': 3.9149888143176734}","{'name': 'MUSR', 'value': 0.3559791666666667, 'normalized_score': 6.197395833333332}","{'name': 'MMLU-PRO', 'value': 0.2720246010638298, 'normalized_score': 19.113844562647756}",False,False,True,False,False,2025-02-21,2025-03-10,1,DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B (Merge),,0,18.405,3.5240369570496637
DavidAU/Gemma-The-Writer-9B_bfloat16_fcd6c9a1d0f6acc5bffc7df72cd8e996a9573937_True,DavidAU/Gemma-The-Writer-9B,fcd6c9a1d0f6acc5bffc7df72cd8e996a9573937,bfloat16,basemergesandmoerges,Original,Gemma2ForCausalLM,20.57119536629256,True,"{'name': 'IFEval', 'value': 0.17403156956874427, 'normalized_score': 17.403156956874426}","{'name': 'BBH', 'value': 0.5905439384199537, 'normalized_score': 41.272318662592205}","{'name': 'MATH Level 5', 'value': 0.08761329305135952, 'normalized_score': 8.761329305135952}","{'name': 'GPQA', 'value': 0.34563758389261745, 'normalized_score': 12.751677852348994}","{'name': 'MUSR', 'value': 0.409875, 'normalized_score': 10.134375}","{'name': 'MMLU-PRO', 'value': 0.39793882978723405, 'normalized_score': 33.10431442080379}",False,False,False,False,False,2024-09-26,2025-01-11,1,DavidAU/Gemma-The-Writer-9B (Merge),,5,10.159,3.968036805179416
DavidAU/Gemma-The-Writer-DEADLINE-10B_bfloat16_69f38a595090ce6ba154b21d9d8b4c690f02b74e_True,DavidAU/Gemma-The-Writer-DEADLINE-10B,69f38a595090ce6ba154b21d9d8b4c690f02b74e,bfloat16,basemergesandmoerges,Original,Gemma2ForCausalLM,21.6766411356942,True,"{'name': 'IFEval', 'value': 0.23315802071836061, 'normalized_score': 23.31580207183606}","{'name': 'BBH', 'value': 0.5896087932535433, 'normalized_score': 41.01919903629973}","{'name': 'MATH Level 5', 'value': 0.09894259818731117, 'normalized_score': 9.894259818731117}","{'name': 'GPQA', 'value': 0.3422818791946309, 'normalized_score': 12.304250559284117}","{'name': 'MUSR', 'value': 0.4188645833333333, 'normalized_score': 10.79140625}","{'name': 'MMLU-PRO', 'value': 0.39461436170212766, 'normalized_score': 32.73492907801418}",False,False,False,False,False,2024-10-27,2025-01-11,1,DavidAU/Gemma-The-Writer-DEADLINE-10B (Merge),,0,10.952,5.197589797990433
DavidAU/Gemma-The-Writer-J.GutenBerg-10B_bfloat16_7318b14104e3eb06c8e571ec8a51c7f027834d74_True,DavidAU/Gemma-The-Writer-J.GutenBerg-10B,7318b14104e3eb06c8e571ec8a51c7f027834d74,bfloat16,basemergesandmoerges,Original,Gemma2ForCausalLM,22.350742726448782,True,"{'name': 'IFEval', 'value': 0.28578948301617485, 'normalized_score': 28.578948301617487}","{'name': 'BBH', 'value': 0.5909421265868766, 'normalized_score': 41.155990975297556}","{'name': 'MATH Level 5', 'value': 0.09214501510574018, 'normalized_score': 9.214501510574017}","{'name': 'GPQA', 'value': 0.33808724832214765, 'normalized_score': 11.74496644295302}","{'name': 'MUSR', 'value': 0.41759375, 'normalized_score': 10.665885416666667}","{'name': 'MMLU-PRO', 'value': 0.3946974734042553, 'normalized_score': 32.74416371158392}",False,False,False,False,False,2024-10-30,2025-01-11,1,DavidAU/Gemma-The-Writer-J.GutenBerg-10B (Merge),,0,10.034,5.037345351027912
DavidAU/Gemma-The-Writer-Mighty-Sword-9B_float16_39e655b61e11cd9a53529c6bdf0e6357b5be6b2c_True,DavidAU/Gemma-The-Writer-Mighty-Sword-9B,39e655b61e11cd9a53529c6bdf0e6357b5be6b2c,float16,basemergesandmoerges,Original,Gemma2ForCausalLM,32.033823768599724,True,"{'name': 'IFEval', 'value': 0.7527549125209998, 'normalized_score': 75.27549125209998}","{'name': 'BBH', 'value': 0.5911959785635329, 'normalized_score': 41.392610073884825}","{'name': 'MATH Level 5', 'value': 0.19108761329305135, 'normalized_score': 19.108761329305135}","{'name': 'GPQA', 'value': 0.34815436241610737, 'normalized_score': 13.087248322147648}","{'name': 'MUSR', 'value': 0.4111770833333333, 'normalized_score': 10.363802083333335}","{'name': 'MMLU-PRO', 'value': 0.39677526595744683, 'normalized_score': 32.97502955082743}",False,False,False,False,False,2024-12-25,2025-01-11,1,DavidAU/Gemma-The-Writer-Mighty-Sword-9B (Merge),,4,10.159,2.842982875986834
DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored_float16_1138d6b3e3527b75e7331044b1f0589a90667e8d_True,DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored,1138d6b3e3527b75e7331044b1f0589a90667e8d,float16,basemergesandmoerges,Original,Gemma2ForCausalLM,31.67934579653929,True,"{'name': 'IFEval', 'value': 0.7070927361622716, 'normalized_score': 70.70927361622716}","{'name': 'BBH', 'value': 0.5922294775018883, 'normalized_score': 40.850090817774024}","{'name': 'MATH Level 5', 'value': 0.229607250755287, 'normalized_score': 22.9607250755287}","{'name': 'GPQA', 'value': 0.3414429530201342, 'normalized_score': 12.192393736017896}","{'name': 'MUSR', 'value': 0.41632291666666665, 'normalized_score': 10.407031250000001}","{'name': 'MMLU-PRO', 'value': 0.3966090425531915, 'normalized_score': 32.95656028368795}",False,False,False,False,False,2024-10-30,2025-01-11,1,DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored (Merge),,3,10.034,3.4933973013928696
DavidAU/L3-DARKEST-PLANET-16.5B_bfloat16_37545fbc229061956c1801968c33c5b187512c41_True,DavidAU/L3-DARKEST-PLANET-16.5B,37545fbc229061956c1801968c33c5b187512c41,bfloat16,basemergesandmoerges,Original,LlamaForCausalLM,24.265056044870743,True,"{'name': 'IFEval', 'value': 0.6230623634179533, 'normalized_score': 62.30623634179532}","{'name': 'BBH', 'value': 0.5230436906708896, 'normalized_score': 31.776241491685315}","{'name': 'MATH Level 5', 'value': 0.08987915407854985, 'normalized_score': 8.987915407854985}","{'name': 'GPQA', 'value': 0.2953020134228188, 'normalized_score': 6.040268456375841}","{'name': 'MUSR', 'value': 0.3753645833333333, 'normalized_score': 7.253906249999997}","{'name': 'MMLU-PRO', 'value': 0.363031914893617, 'normalized_score': 29.225768321512994}",False,False,False,False,False,2024-10-11,2025-01-11,1,DavidAU/L3-DARKEST-PLANET-16.5B (Merge),,5,16.537,4.225040735611014
DavidAU/L3-Dark-Planet-8B_bfloat16_462c9307ba4cfcb0c1edcceac5e06f4007bc803e_False,DavidAU/L3-Dark-Planet-8B,462c9307ba4cfcb0c1edcceac5e06f4007bc803e,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,20.469184056256058,False,"{'name': 'IFEval', 'value': 0.4134108609600305, 'normalized_score': 41.34108609600305}","{'name': 'BBH', 'value': 0.5084081453197787, 'normalized_score': 29.78962694499553}","{'name': 'MATH Level 5', 'value': 0.0823262839879154, 'normalized_score': 8.23262839879154}","{'name': 'GPQA', 'value': 0.30033557046979864, 'normalized_score': 6.711409395973152}","{'name': 'MUSR', 'value': 0.36159375, 'normalized_score': 6.332552083333334}","{'name': 'MMLU-PRO', 'value': 0.37367021276595747, 'normalized_score': 30.40780141843972}",False,False,False,False,False,2024-09-05,2024-09-12,1,DavidAU/L3-Dark-Planet-8B (Merge),,6,8.03,1.8782814138679607
DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct_float16_db4ae3d7b608fd0e7490d2fcfa0436e56e21af33_False,DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,db4ae3d7b608fd0e7490d2fcfa0436e56e21af33,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,17.857043217965458,False,"{'name': 'IFEval', 'value': 0.3961998608137519, 'normalized_score': 39.619986081375195}","{'name': 'BBH', 'value': 0.4765717717789398, 'normalized_score': 25.869793144697738}","{'name': 'MATH Level 5', 'value': 0.04078549848942598, 'normalized_score': 4.078549848942599}","{'name': 'GPQA', 'value': 0.2785234899328859, 'normalized_score': 3.8031319910514525}","{'name': 'MUSR', 'value': 0.40196875, 'normalized_score': 8.312760416666668}","{'name': 'MMLU-PRO', 'value': 0.3291223404255319, 'normalized_score': 25.458037825059098}",False,False,False,False,False,2024-08-23,2024-09-04,1,DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct (Merge),,0,12.174,1.4375216123892207
DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct_float16_65a9e957dc4211aa3d87fdf588767823af5cde3f_False,DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct,65a9e957dc4211aa3d87fdf588767823af5cde3f,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,17.831555665481403,False,"{'name': 'IFEval', 'value': 0.3924032677739509, 'normalized_score': 39.24032677739509}","{'name': 'BBH', 'value': 0.46930207579694677, 'normalized_score': 24.504815583181394}","{'name': 'MATH Level 5', 'value': 0.04607250755287009, 'normalized_score': 4.607250755287009}","{'name': 'GPQA', 'value': 0.27684563758389263, 'normalized_score': 3.5794183445190177}","{'name': 'MUSR', 'value': 0.41942708333333334, 'normalized_score': 11.26171875}","{'name': 'MMLU-PRO', 'value': 0.31416223404255317, 'normalized_score': 23.795803782505907}",False,False,False,False,False,2024-08-24,2024-09-12,1,DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct (Merge),,1,12.174,2.8494143473815945
DavidAU/L3-SMB-Instruct-12.2B-F32_float16_ac5e205a41b17a7b05b1b62f352aacc7e65b2f13_False,DavidAU/L3-SMB-Instruct-12.2B-F32,ac5e205a41b17a7b05b1b62f352aacc7e65b2f13,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,18.90163889043809,False,"{'name': 'IFEval', 'value': 0.4303215468290802, 'normalized_score': 43.032154682908015}","{'name': 'BBH', 'value': 0.4786412360346213, 'normalized_score': 26.130957088441544}","{'name': 'MATH Level 5', 'value': 0.04682779456193353, 'normalized_score': 4.682779456193353}","{'name': 'GPQA', 'value': 0.28187919463087246, 'normalized_score': 4.250559284116329}","{'name': 'MUSR', 'value': 0.40872916666666664, 'normalized_score': 9.624479166666669}","{'name': 'MMLU-PRO', 'value': 0.3312001329787234, 'normalized_score': 25.688903664302597}",False,False,False,False,False,2024-08-25,2024-09-12,1,DavidAU/L3-SMB-Instruct-12.2B-F32 (Merge),,1,12.174,2.764794372875263
DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B_float16_7b626e50b6c35fcb064b8b039fcf30eae01c3fae_False,DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,7b626e50b6c35fcb064b8b039fcf30eae01c3fae,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,17.197491298716887,False,"{'name': 'IFEval', 'value': 0.34389309254998957, 'normalized_score': 34.389309254998956}","{'name': 'BBH', 'value': 0.4736328900737677, 'normalized_score': 26.692021341537863}","{'name': 'MATH Level 5', 'value': 0.02190332326283988, 'normalized_score': 2.190332326283988}","{'name': 'GPQA', 'value': 0.2709731543624161, 'normalized_score': 2.796420581655479}","{'name': 'MUSR', 'value': 0.40311458333333333, 'normalized_score': 8.555989583333334}","{'name': 'MMLU-PRO', 'value': 0.3570478723404255, 'normalized_score': 28.560874704491717}",False,False,False,False,False,2024-08-23,2024-09-04,1,DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B (Merge),,0,16.537,5.845597193164506
DavidAU/L3-Stheno-v3.2-12.2B-Instruct_bfloat16_8271fc32a601a4fa5efbe58c41a0ef4181ad8836_False,DavidAU/L3-Stheno-v3.2-12.2B-Instruct,8271fc32a601a4fa5efbe58c41a0ef4181ad8836,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,18.73968028525321,False,"{'name': 'IFEval', 'value': 0.4027945850343755, 'normalized_score': 40.279458503437546}","{'name': 'BBH', 'value': 0.4845980190500647, 'normalized_score': 27.36962320894452}","{'name': 'MATH Level 5', 'value': 0.05060422960725076, 'normalized_score': 5.0604229607250755}","{'name': 'GPQA', 'value': 0.2751677852348993, 'normalized_score': 3.355704697986576}","{'name': 'MUSR', 'value': 0.41025, 'normalized_score': 10.314583333333333}","{'name': 'MMLU-PRO', 'value': 0.3345246010638298, 'normalized_score': 26.0582890070922}",False,False,False,False,False,2024-08-24,2024-09-12,1,DavidAU/L3-Stheno-v3.2-12.2B-Instruct (Merge),,1,12.174,2.7953992017252753
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B_bfloat16_9e4ae1310a0d2c82d50fe2aedc94ef084901ac48_True,DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,9e4ae1310a0d2c82d50fe2aedc94ef084901ac48,bfloat16,basemergesandmoerges,Original,LlamaForCausalLM,24.710302269160096,True,"{'name': 'IFEval', 'value': 0.7042702252246262, 'normalized_score': 70.42702252246261}","{'name': 'BBH', 'value': 0.5260910165037093, 'normalized_score': 32.46178300050608}","{'name': 'MATH Level 5', 'value': 0.09290030211480363, 'normalized_score': 9.290030211480364}","{'name': 'GPQA', 'value': 0.27936241610738255, 'normalized_score': 3.9149888143176734}","{'name': 'MUSR', 'value': 0.354125, 'normalized_score': 2.498958333333334}","{'name': 'MMLU-PRO', 'value': 0.3670212765957447, 'normalized_score': 29.669030732860524}",False,False,False,False,False,2024-11-10,2025-01-11,1,DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B (Merge),,4,8.03,1.2605639032263736
DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B_bfloat16_1ed5318f6bf5461efa5168289ab6786f4987ca96_False,DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B,1ed5318f6bf5461efa5168289ab6786f4987ca96,bfloat16,fine-tunedondomain-specificdatasets,Original,MixtralForCausalLM,19.615401464984767,False,"{'name': 'IFEval', 'value': 0.3345257250761313, 'normalized_score': 33.452572507613134}","{'name': 'BBH', 'value': 0.4420822344441435, 'normalized_score': 21.197829273123393}","{'name': 'MATH Level 5', 'value': 0.26057401812688824, 'normalized_score': 26.057401812688823}","{'name': 'GPQA', 'value': 0.313758389261745, 'normalized_score': 8.501118568232664}","{'name': 'MUSR', 'value': 0.37486458333333333, 'normalized_score': 7.458072916666668}","{'name': 'MMLU-PRO', 'value': 0.2892287234042553, 'normalized_score': 21.025413711583923}",False,False,True,False,False,2025-03-06,2025-03-10,1,DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B (Merge),,0,13.668,1.4035730196826506
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B_bfloat16_412099bb6f570707a3a6ee311bfeb93a204c1b7b_False,DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,412099bb6f570707a3a6ee311bfeb93a204c1b7b,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2MoeForCausalLM,5.120376565217631,False,"{'name': 'IFEval', 'value': 0.17832905579418165, 'normalized_score': 17.832905579418167}","{'name': 'BBH', 'value': 0.30326053640004424, 'normalized_score': 3.023581212338263}","{'name': 'MATH Level 5', 'value': 0.024924471299093656, 'normalized_score': 2.492447129909366}","{'name': 'GPQA', 'value': 0.25922818791946306, 'normalized_score': 1.230425055928408}","{'name': 'MUSR', 'value': 0.3714583333333333, 'normalized_score': 4.565625000000001}","{'name': 'MMLU-PRO', 'value': 0.11419547872340426, 'normalized_score': 1.5772754137115832}",False,False,True,False,False,2025-03-06,2025-03-10,1,DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B (Merge),,0,4.089,1.1268767305406775
DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B_bfloat16_8a908eadce5fc13ddedab2c854433245de430e41_False,DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B,8a908eadce5fc13ddedab2c854433245de430e41,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2MoeForCausalLM,13.021728019791546,False,"{'name': 'IFEval', 'value': 0.28351773294857646, 'normalized_score': 28.351773294857644}","{'name': 'BBH', 'value': 0.35922718767499157, 'normalized_score': 10.870199077362608}","{'name': 'MATH Level 5', 'value': 0.24169184290030213, 'normalized_score': 24.169184290030213}","{'name': 'GPQA', 'value': 0.2651006711409396, 'normalized_score': 2.0134228187919474}","{'name': 'MUSR', 'value': 0.38469791666666664, 'normalized_score': 5.653906249999999}","{'name': 'MMLU-PRO', 'value': 0.1636469414893617, 'normalized_score': 7.0718823877068555}",False,False,True,False,False,2025-03-06,2025-03-10,1,DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B (Merge),,0,19.022,2.2596681212071084
DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32_bfloat16_7a447e7af3ce9ea515f25c04ab7f942fe637b521_False,DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32,7a447e7af3ce9ea515f25c04ab7f942fe637b521,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2MoeForCausalLM,6.418592963200898,False,"{'name': 'IFEval', 'value': 0.21067766858601844, 'normalized_score': 21.067766858601843}","{'name': 'BBH', 'value': 0.32861776640637924, 'normalized_score': 6.218964782807416}","{'name': 'MATH Level 5', 'value': 0.06646525679758308, 'normalized_score': 6.646525679758309}","{'name': 'GPQA', 'value': 0.24748322147651006, 'normalized_score': 0.0}","{'name': 'MUSR', 'value': 0.3404479166666667, 'normalized_score': 3.2226562499999996}","{'name': 'MMLU-PRO', 'value': 0.11220079787234043, 'normalized_score': 1.3556442080378246}",False,False,True,False,False,2025-03-05,2025-03-10,1,DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32 (Merge),,0,8.714,2.2526985444884104
Davidsv/SUONG-1_float16_5bab856eaa8836d4f37d736926bdd18b97ac3241_False,Davidsv/SUONG-1,5bab856eaa8836d4f37d736926bdd18b97ac3241,float16,basemergesandmoerges,Original,MistralForCausalLM,5.32234226282347,False,"{'name': 'IFEval', 'value': 0.2497207409673001, 'normalized_score': 24.97207409673001}","{'name': 'BBH', 'value': 0.28171339082318814, 'normalized_score': 1.8272424825748754}","{'name': 'MATH Level 5', 'value': 0.0, 'normalized_score': 0.0}","{'name': 'GPQA', 'value': 0.24412751677852348, 'normalized_score': 0.0}","{'name': 'MUSR', 'value': 0.35775, 'normalized_score': 4.185416666666667}","{'name': 'MMLU-PRO', 'value': 0.1085438829787234, 'normalized_score': 0.9493203309692663}",False,False,False,False,False,2025-02-14,2025-02-14,1,Davidsv/SUONG-1 (Merge),,1,2.879,0.22068029903945732
DavieLion/Llama-3.2-1B-SPIN-iter0_float16_bc1a37920fb5e3cb64a71a4deda649f33fecb95d_False,DavieLion/Llama-3.2-1B-SPIN-iter0,bc1a37920fb5e3cb64a71a4deda649f33fecb95d,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.6238167467938993,False,"{'name': 'IFEval', 'value': 0.15067687070306784, 'normalized_score': 15.067687070306786}","{'name': 'BBH', 'value': 0.29300816789978756, 'normalized_score': 2.1008283750749497}","{'name': 'MATH Level 5', 'value': 0.0, 'normalized_score': 0.0}","{'name': 'GPQA', 'value': 0.2533557046979866, 'normalized_score': 0.44742729306487633}","{'name': 'MUSR', 'value': 0.3565416666666667, 'normalized_score': 2.7343749999999996}","{'name': 'MMLU-PRO', 'value': 0.11253324468085106, 'normalized_score': 1.392582742316784}",True,False,False,False,False,2024-12-27,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter0 (Merge),llama3.2,0,1.236,0.36964968247226154
DavieLion/Llama-3.2-1B-SPIN-iter0_bfloat16_2c95189201f94c64fcf4c9a7edc4777741f18999_False,DavieLion/Llama-3.2-1B-SPIN-iter0,2c95189201f94c64fcf4c9a7edc4777741f18999,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.985688359677067,False,"{'name': 'IFEval', 'value': 0.15492338107332987, 'normalized_score': 15.492338107332987}","{'name': 'BBH', 'value': 0.29372614029730437, 'normalized_score': 2.3306685577233517}","{'name': 'MATH Level 5', 'value': 0.006042296072507553, 'normalized_score': 0.6042296072507553}","{'name': 'GPQA', 'value': 0.2575503355704698, 'normalized_score': 1.0067114093959737}","{'name': 'MUSR', 'value': 0.3564791666666667, 'normalized_score': 3.0598958333333326}","{'name': 'MMLU-PRO', 'value': 0.11278257978723404, 'normalized_score': 1.4202866430260035}",True,False,False,False,False,2024-12-27,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter0 (Merge),llama3.2,0,1.236,0.7089527374016119
DavieLion/Llama-3.2-1B-SPIN-iter1_bfloat16_8c632ae68bd385af2e2270933326edbcd0044e8c_False,DavieLion/Llama-3.2-1B-SPIN-iter1,8c632ae68bd385af2e2270933326edbcd0044e8c,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.7519748574168585,False,"{'name': 'IFEval', 'value': 0.15754642127333254, 'normalized_score': 15.754642127333252}","{'name': 'BBH', 'value': 0.29402546232087917, 'normalized_score': 2.433772217660189}","{'name': 'MATH Level 5', 'value': 0.0022658610271903325, 'normalized_score': 0.22658610271903326}","{'name': 'GPQA', 'value': 0.25083892617449666, 'normalized_score': 0.11185682326622093}","{'name': 'MUSR', 'value': 0.3646041666666667, 'normalized_score': 2.675520833333333}","{'name': 'MMLU-PRO', 'value': 0.11178523936170212, 'normalized_score': 1.309471040189124}",True,False,False,False,False,2024-12-29,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter1 (Merge),llama3.2,0,1.236,0.7217203551845318
DavieLion/Llama-3.2-1B-SPIN-iter2_bfloat16_36c9b3fd7196c6bac0fbe8f1e9c4f4fb3bcc993a_False,DavieLion/Llama-3.2-1B-SPIN-iter2,36c9b3fd7196c6bac0fbe8f1e9c4f4fb3bcc993a,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.658145708347315,False,"{'name': 'IFEval', 'value': 0.13761264555822994, 'normalized_score': 13.761264555822994}","{'name': 'BBH', 'value': 0.2980340303779312, 'normalized_score': 3.1573429783229785}","{'name': 'MATH Level 5', 'value': 0.005287009063444108, 'normalized_score': 0.5287009063444108}","{'name': 'GPQA', 'value': 0.25419463087248323, 'normalized_score': 0.5592841163310973}","{'name': 'MUSR', 'value': 0.35530208333333335, 'normalized_score': 2.512760416666666}","{'name': 'MMLU-PRO', 'value': 0.11286569148936171, 'normalized_score': 1.4295212765957446}",True,False,False,False,False,2024-12-29,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter2 (Merge),llama3.2,0,1.236,0.7070763736913788
DavieLion/Llama-3.2-1B-SPIN-iter3_float16_108557f0db9b6f7c35ba8b0d094ebd81be6fe9fd_False,DavieLion/Llama-3.2-1B-SPIN-iter3,108557f0db9b6f7c35ba8b0d094ebd81be6fe9fd,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.593140598286666,False,"{'name': 'IFEval', 'value': 0.1335910938531984, 'normalized_score': 13.35910938531984}","{'name': 'BBH', 'value': 0.29752276438021447, 'normalized_score': 3.1395015434855087}","{'name': 'MATH Level 5', 'value': 0.006797583081570997, 'normalized_score': 0.6797583081570997}","{'name': 'GPQA', 'value': 0.2533557046979866, 'normalized_score': 0.44742729306487633}","{'name': 'MUSR', 'value': 0.34996875, 'normalized_score': 2.512760416666666}","{'name': 'MMLU-PRO', 'value': 0.11278257978723404, 'normalized_score': 1.4202866430260035}",True,False,False,False,False,2024-12-29,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter3 (Merge),llama3.2,0,1.236,1.0930826432847423
DavieLion/Llama-3.2-1B-SPIN-iter3_bfloat16_ae511fd6bae53efd2656dd3cc6fc87d0fc56356c_False,DavieLion/Llama-3.2-1B-SPIN-iter3,ae511fd6bae53efd2656dd3cc6fc87d0fc56356c,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.6136899611836006,False,"{'name': 'IFEval', 'value': 0.1323920530858123, 'normalized_score': 13.239205308581232}","{'name': 'BBH', 'value': 0.29722352809482616, 'normalized_score': 3.02851385306557}","{'name': 'MATH Level 5', 'value': 0.0, 'normalized_score': 0.0}","{'name': 'GPQA', 'value': 0.26426174496644295, 'normalized_score': 1.9015659955257262}","{'name': 'MUSR', 'value': 0.3526666666666667, 'normalized_score': 2.0833333333333326}","{'name': 'MMLU-PRO', 'value': 0.11286569148936171, 'normalized_score': 1.4295212765957446}",True,False,False,False,False,2024-12-29,2024-12-29,1,DavieLion/Llama-3.2-1B-SPIN-iter3 (Merge),llama3.2,0,1.236,0.3632299840264858
DavieLion/Lllma-3.2-1B_float16_5e0d3bc7ca705a41f897a870efd4ff6ce455e20c_False,DavieLion/Lllma-3.2-1B,5e0d3bc7ca705a41f897a870efd4ff6ce455e20c,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,3.932331961262434,False,"{'name': 'IFEval', 'value': 0.1601439735457475, 'normalized_score': 16.01439735457475}","{'name': 'BBH', 'value': 0.2964692268500723, 'normalized_score': 2.4381228956228953}","{'name': 'MATH Level 5', 'value': 0.006797583081570997, 'normalized_score': 0.6797583081570997}","{'name': 'GPQA', 'value': 0.24412751677852348, 'normalized_score': 0.0}","{'name': 'MUSR', 'value': 0.35781250000000003, 'normalized_score': 3.0598958333333326}","{'name': 'MMLU-PRO', 'value': 0.11261635638297872, 'normalized_score': 1.4018173758865236}",True,False,False,False,False,2024-12-27,2024-12-27,0,DavieLion/Lllma-3.2-1B,llama3.2,0,1.236,0.7337502581357204
